id,pest_name,scientific_name,order_name,family_name,pest_category,host_plants,geographic_distribution,damage_type,identification_tips,damage_symptoms,lifecycle_summary,seasonal_peak,economic_threshold,organic_control,chemical_control,biological_control,ipm_notes,natural_predators,resistance_issues,created_at
1,Whitefly,Bemisia tabaci,Hemiptera,Aleyrodidae,Sucking_Pests,"Tomato, Cotton, Pepper, Cucumber, Cassava, Sweet Potato, Bean",Tropical and subtropical worldwide,Sucking,Tiny (1-1.5mm) white-winged insects; fly in clouds when disturbed; yellowish oval nymphs on leaf underside,"Yellowing leaves, sticky honeydew, sooty mold (secondary), vector of 200+ plant viruses (TYLCV, CLCuD, CBSD, cassava mosaic)","{""egg"": ""Scale-like, yellow, on leaf underside; hatches in 5-7 days"", ""nymph"": ""4 instars; flat, oval, scale-like; 10-15 days"", ""pupa"": ""Waxy pupal case; 4-6 days"", ""adult"": ""Tiny white moth-like; lives 30-40 days; female lays 150-200 eggs"", ""total_duration_days"": ""24-28 days; multiple overlapping generations""}",Summer/dry season when populations explode,"5-10 adults per leaf, 1 adult per yellow sticky trap per day","Yellow sticky traps, neem oil + soap spray (5ml+2ml per L), reflective mulch, soap water spray, Beauveria bassiana","Imidacloprid 17.8% SL (0.5ml/L), Thiamethoxam 25% WG (0.2g/L), Acetamiprid 20% SP (0.2g/L), Spiromesifen (resistance management)","Encarsia formosa (parasitic wasp), Eretmocerus mundus, Macrolophus pygmaeus (predatory bug), Beauveria bassiana","Rotate between chemical classes to manage resistance; use systemic at transplanting, contact at adult stage; banker plant system in greenhouses","Encarsia formosa, Eretmocerus mundus, Chrysoperla carnea, Macrolophus pygmaeus",B. tabaci MEAM1 and MED biotypes highly resistant to neonicotinoids and pyrethroids,2026-06-26 15:47:47.245446
2,Aphids,Myzus persicae (Green Peach Aphid); multiple species,Hemiptera,Aphididae,Sucking_Pests,"Universal — thousands of plant species (vegetables, fruits, ornamentals, cereals)",Worldwide,Sucking; Virus vector,"Soft-bodied 1-3mm insects, green/yellow/black/pink depending on species; winged and wingless forms; two cornicles (tail tubes) on abdomen","Leaf curling, distortion, yellowing; sticky honeydew with black sooty mold; severe infestations stunt plants; vectors of 200+ plant viruses (CMV, PVY, BYDV)","{""parthenogenetic"": ""Females reproduce without mating in spring/summer; 7-10 days per generation"", ""sexual"": ""Sexual cycle in autumn; overwinter as eggs on woody hosts"", ""total_duration_days"": ""7-10 days per generation; up to 50 generations per year""}",Spring and early summer; warm dry conditions,10-25 aphids per leaf; or any number when virus risk is high,Strong water spray to dislodge; insecticidal soap (1%); neem oil (3-5ml/L); garlic-pepper spray; encourage natural enemies,"Imidacloprid 17.8% SL (0.3ml/L), Dimethoate 30% EC (2ml/L), Flonicamid, Pymetrozine, Spirotetramat","Coccinella septempunctata (ladybug), Chrysoperla carnea (lacewing), Aphidius colemani and A. ervi (parasitic wasps), Syrphid fly larvae",Banker plant systems (cereal aphid + parasitoid) used in greenhouses; avoid broad-spectrum insecticides that kill natural enemies,"Ladybugs (Coccinella sp.), Lacewings (Chrysoperla sp.), Syrphid flies, Parasitic wasps (Aphidius sp.), Ground beetles","M. persicae has developed resistance to organophosphates, carbamates, and some neonicotinoids",2026-06-26 15:47:47.245450
3,Thrips,Thrips palmi (Melon Thrips); Frankliniella occidentalis (Western Flower Thrips),Thysanoptera,Thripidae,Sucking_Pests,"Virtually all vegetables, ornamentals, fruits, cotton, onion, cereal crops",F. occidentalis: worldwide; T. palmi: tropical Asia/Pacific,"Rasping/sucking; Virus vector (TSWV, CSNV)","Very small (0.5-1.5mm); slender, fringed wings; yellow to dark brown depending on species; move fast","Silvery streaks/scarring on leaves and fruits (from feeding); distorted growth; 'ghost spots' on petals; TSWV virus symptoms (wilting, bronzing, ring spots)","{""egg"": ""Inserted in plant tissue; hatches 3-5 days"", ""nymph"": ""2 nymphal stages; 7-10 days"", ""prepupa_pupa"": ""In soil or leaf debris; 3-7 days"", ""adult"": ""Lives 30-45 days; female lays 150-300 eggs"", ""total_duration_days"": ""14-22 days at optimal temperature (25-30\u00b0C)""}",Hot dry conditions; population explosions common,5-10 thrips per flower; 1 per sticky trap per day for virus-risk crops,"Blue sticky traps (most attractive to thrips), spinosad spray, neem oil, kaolin clay, predatory mites (Neoseiulus cucumeris)","Spinosad 45% SC (0.3ml/L), Imidacloprid, Abamectin 1.9% EC (0.5ml/L), Cyantraniliprole, Tolfenpyrad","Neoseiulus cucumeris, Amblyseius swirskii (predatory mites); Orius insidiosus (pirate bug); Steinernema feltiae (entomopathogenic nematode) for soil pupae",Hard to control due to hidden feeding in flowers and leaf tissue; soil pupae require soil drenches; rotate chemical classes,"Orius spp. (pirate bugs), Predatory mites (Neoseiulus, Amblyseius), Ground beetles, Lacewings",F. occidentalis has developed resistance to many insecticide classes,2026-06-26 15:47:47.245450
4,Spider Mite (Two-Spotted),Tetranychus urticae,Trombidiformes,Tetranychidae,Sucking_Pests,"Over 1,100 plant species: all vegetables, ornamentals, fruits, cotton, soybean","Worldwide, especially hot dry conditions",Cell content feeding,Tiny (< 0.5mm); two dark spots on pale greenish-yellow body; spin fine silk webbing on leaf underside; visible under hand lens,Stippled (tiny pale dots/punctures) on leaves from below; leaves turn bronze/yellow and dry; fine silk webbing; premature defoliation,"{""egg"": ""Spherical, transparent; hatches 3-5 days"", ""larva_nymph"": ""Larva + 2 nymphal stages; 7-10 days"", ""adult"": ""Female lives 30 days; lays 10-20 eggs/day"", ""total_duration_days"": ""10-14 days at 30\u00b0C; up to 20 generations/year""}",Hot dry summer; mites thrive in low humidity and warm conditions,20-50 mites per leaf; or visible stippling on > 30% of scouted leaves,Water spray to wash off; neem oil 5ml/L; wettable sulfur 3g/L; insecticidal soap; predatory mites release; soap solution sprays,"Abamectin 1.9% EC (0.5ml/L), Spiromesifen 22.9% SC (1ml/L), Hexythiazox 5% EC (1ml/L), Bifenazate, Clofentezine, Fenpyroximate","Phytoseiulus persimilis (excellent predator), Amblyseius californicus, Neoseiulus californicus, Feltiella acarisuga (gall midge)",Rotate acaricides by chemical class; preserve natural enemies; increase irrigation in dry weather to reduce mite-favorable conditions; do NOT use broad-spectrum insecticides that kill predatory mites,"Phytoseiulus persimilis, Galendromus occidentalis, Stethorus punctillum (ladybug), Feltiella acarisuga, Chrysoperla",Extremely prone to developing acaricide resistance; use rotation strictly,2026-06-26 15:47:47.245451
5,Mealybugs,Phenacoccus solenopsis (Cotton Mealybug); Planococcus citri (Citrus Mealybug),Hemiptera,Pseudococcidae,Sucking_Pests,"Cotton, Grapes, Citrus, Mango, Cassava, ornamentals, vegetables",Tropical and subtropical worldwide,Sucking; Honeydew production; Virus vector,"Soft, oval, covered with white mealy wax; pink body visible through wax; waxy filaments around body; colonies in leaf axils and stem crevices","Yellowing, leaf drop, honeydew + sooty mold; cotton twisting; mango malformation spread; overall plant decline and death in severe infestations","{""egg"": ""Females lay 200-600 eggs in egg sac under body"", ""crawler"": ""First instar (crawler) most vulnerable stage; spreads by wind, ants, contaminated tools"", ""total_duration_days"": ""30-60 days per generation; 5-6 generations/year in warm conditions""}",Peak in spring and autumn; protected by ants,1-2 mealybugs per plant in nursery; 5% infested plants in field,Neem oil + soap spray; rubbing alcohol on cotton swabs; strong water spray; remove waxy coating first; Cryptolaemus montrouzieri release,"Imidacloprid soil drench (2ml/L), Buprofezin 25% WP (1g/L), Chlorpyrifos 20% EC (2.5ml/L), Acetamiprid + Chlorpyrifos","Cryptolaemus montrouzieri (mealybug destroyer beetle), Leptomastix dactylopii (parasitoid wasp), Anagyrus kamali, Acerophagus papayae",Control ants (which protect mealybugs from predators); reach under waxy coating with oil-based sprays; ant management improves biocontrol effectiveness,"Cryptolaemus montrouzieri, Leptomastix dactylopii, Anagyrus kamali, Lacewings",Moderate; rotate chemical classes,2026-06-26 15:47:47.245451
6,Scale Insects,Diaspidiotus perniciosus (San Jose Scale); Saissetia oleae (Olive Scale),Hemiptera,Diaspididae / Coccidae,Sucking_Pests,"Fruit trees (apple, pear, citrus, mango), olives, ornamentals",Worldwide,Sucking,Round to oyster-shaped waxy armor covering body; armored scales (Diaspididae) - armor separable from body; soft scales (Coccidae) - armor inseparable,"Yellowing, twig and branch death, reduced fruit quality, bark encrustation; honeydew (soft scales) leading to sooty mold","{""crawler"": ""Mobile first instar spreads by wind and contact; settles and secretes scale"", ""total_duration_days"": ""1-2 generations per year for most scale species""}",Crawler emergence in spring,Variable; 5 per 10cm branch for San Jose scale,Dormant oil spray (petroleum oil 3-5%) at crawler stage; white summer oil (1-2%); brush off with stiff brush,"Buprofezin (at crawler stage), Chlorpyrifos + oil, Spirotetramat systemic; dormant oil during winter","Encarsia perniciosi (parasitoid of San Jose scale), Comperiella bifasciata, Aphytis melinus (red scale parasitoid)",Timing at crawler stage is critical; inspect bark regularly; monitor with sticky tape to detect crawlers,"Aphytis sp. wasps, Encarsia sp. wasps, Chilocorus ladybugs, Cryptolaemus",Low to moderate,2026-06-26 15:47:47.245451
7,Leafhoppers,Amrasca biguttula biguttula (Cotton/Okra Leafhopper); Empoasca spp.,Hemiptera,Cicadellidae,Sucking_Pests,"Cotton, Okra, Brinjal, Potato, Grape, Legumes",Worldwide,Sucking; Virus vector; Toxicogenic saliva,"Wedge-shaped, 3-4mm; green/yellow; jump sideways when disturbed; run diagonally on plants","Cotton: 'Cotton leaf curl' or 'Jassid damage' — leaf edge curling upward, reddening; Potato/Brinjal: leaf hopper burn (hopperburn) — marginal leaf scorch and curling","{""egg"": ""Inserted in leaf midrib; hatches 6-10 days"", ""nymph"": ""5 instars; wingless; 15-20 days"", ""adult"": ""3-4 weeks; lays 50-100 eggs"", ""total_duration_days"": ""25-30 days; 5-6 generations/year""}","Hot, dry conditions",2 nymphs per leaf for cotton; 5 per leaf for brinjal,"Neem seed kernel extract 5%, neem oil; yellow sticky traps; Beauveria bassiana spray","Imidacloprid 17.8% SL (0.3ml/L), Lambda-cyhalothrin 5% EC (1ml/L), Thiamethoxam, Dimethoate 30% EC (2ml/L)","Anagrus atomus (egg parasitoid in grapes), Gonatocerus ashmeadi, Stethorus ladybugs",Spray lower leaf surface; morning sprays most effective; hairy-leaved cultivars are less susceptible,"Anagrus atomus (parasitoid wasp), General predators (ladybugs, lacewings)",Moderate resistance to organophosphates documented,2026-06-26 15:47:47.245452
8,Diamondback Moth,Plutella xylostella,Lepidoptera,Plutellidae,Chewing_Caterpillars,"Cabbage, Cauliflower, Broccoli, Kale, Mustard, Turnip — all Brassica crops",Worldwide; most severe in tropics and subtropics,Leaf feeding,"Adult: 8mm, gray-brown moth with diamond pattern on back when wings folded; Larva: pale green, 10mm, wriggle violently when disturbed, dangle from silk thread","Windowing: larvae eat leaf tissue from below, leaving translucent papery epidermis on upper surface; total leaf skeletonization in heavy infestations; head borer","{""egg"": ""Oval, flattened, on leaf surface; hatches 3-8 days"", ""larva"": ""4 instars; 8-14 days"", ""pupa"": ""White cocoon on leaf; 5-10 days"", ""adult"": ""Lives 4-8 days; lays 150-300 eggs"", ""total_duration_days"": ""18-30 days; 10-15 generations/year in tropics""}",Year-round in tropics; peaks in dry season when conditions are hot,1 larva per plant at transplanting; 5 larvae per plant after establishment,Bacillus thuringiensis subsp. kurstaki (Bt-k) spray (most effective); neem seed kernel extract 5%; hand picking; pheromone traps for monitoring,"Spinosad 45% SC (0.3ml/L), Indoxacarb 14.5% SC (1ml/L), Chlorfluazuron (IGR), Emamectin benzoate 5% SG (0.2g/L), Flubendiamide","Cotesia plutellae (parasitic wasp), Diadegma semiclausum, Diadromus collaris; Bacillus thuringiensis","World's most insecticide-resistant insect pest. Resistance management is critical. Rotate between Bt, spinosad, indoxacarb, and diamide insecticides.","Cotesia plutellae, Diadegma semiclausum, Chrysoperla, Spiders",Extreme resistance to virtually all insecticide classes; critical resistance management needed,2026-06-26 15:47:47.245452
9,Fall Armyworm,Spodoptera frugiperda,Lepidoptera,Noctuidae,Chewing_Caterpillars,"Maize (primary), Sorghum, Rice, Sugarcane, Cotton, Tomato, 350+ plant species","Native to Americas; invaded Africa (2016), Asia (2018), Australia (2020); now worldwide",Leaf and whorl feeding; ear damage,"Adult: 38mm wingspan, mottled gray-brown moths; Larva: greenish to brown, inverted 'Y' mark on head, 4 square black dots on 8th abdominal segment, up to 40mm",Ragged windows in leaves; characteristic 'shot hole' damage in whorl; frass in leaf whorl; direct ear damage (in maize); can completely defoliate young plants,"{""egg"": ""Mass of 100-200 eggs covered with scales on leaf surface; hatches 3-5 days"", ""larva"": ""6 instars; 14-30 days"", ""pupa"": ""In soil; 8-14 days"", ""adult"": ""10-20 day lifespan; female lays 1500+ eggs"", ""total_duration_days"": ""30-50 days; 3-6 generations/year""}",Peak during main maize season; migrates with wind systems,2 egg masses or 5 larvae per 100 plants (maize); or any visible whorl damage > 5%,Bt-kurstaki or Bt-aizawai spray; fall armyworm pheromone traps; sand+soil in whorl (suffocates larvae); egg mass and larvae hand collection,"Emamectin benzoate 5% SG (0.4g/L into whorl), Chlorantraniliprole (Coragen), Spinetoram, Lambda-cyhalothrin (adult moths)","Telenomus remus (egg parasitoid), Cotesia icipe, Coccygomimus turionellae, Metarhizium rileyi, NPV (Nuclear Polyhedrosis Virus)",Scouting critical: check whorls for frass and larvae early. Early stage intervention most effective. Avoid broad-spectrum insecticides to preserve natural enemies.,"Telenomus remus (egg parasitoid), Cotesia sp., Ear wigs, Ground beetles, Ants (eat eggs)",Developing resistance to Bt proteins in some regions; resistance to pyrethroid-based insecticides emerging,2026-06-26 15:47:47.245452
10,Cotton Bollworm (Helicoverpa),Helicoverpa armigera,Lepidoptera,Noctuidae,Chewing_Caterpillars,"Cotton, Chickpea, Tomato, Maize, Pigeonpea, Sorghum — polyphagous pest of 200+ species",Old World (Afro-Eurasia); H. zea in Americas,"Fruit, flower and seed feeding","Adult: 35-40mm wingspan, yellowish-brown with dark spot; Larva: variable color (green/brown/pinkish), microspines on body, up to 40mm","Entry holes in cotton bolls (with frass-filled tunnels), tomato fruit damage, chickpea pod damage with grain loss, maize kernel damage","{""egg"": ""Round, ribbed; on upper leaf surface or flowers; hatches 2-4 days"", ""larva"": ""6 instars; 14-28 days"", ""pupa"": ""In soil; 14-28 days"", ""adult"": ""5-15 days; female lays 500-1500 eggs"", ""total_duration_days"": ""30-70 days; 2-5 generations/year""}",Kharif (monsoon) season in South Asia; depends on crop,1-2 larvae per plant (cotton); 5% fruit infestation,NPV spray (2×10¹² POB/ha); HaNPV + cotton Bt; pheromone traps (1/ha); neem seed kernel extract; Bt-k spray,"Emamectin benzoate 5% SG (0.4g/L), Chlorantraniliprole 18.5% SC (0.3ml/L), Indoxacarb, Flubendiamide, Thiodicarb","Trichogramma chilonis (egg parasitoid, 1 lakh/ha weekly), Habrobracon hebetor, Chrysoperla carnea, HaNPV","Bt crops (Bt cotton, Bt chickpea) used widely; pyrethroid resistance widespread; refuge strategy essential with Bt crops; pheromone trap-based monitoring","Trichogramma sp. (egg parasitoids), Habrobracon hebetor (larva parasitoid), Campoletis chlorideae, Chrysoperla carnea",High resistance to pyrethroids and organophosphates; Cry1Ac resistance documented in Australia; critical resistance monitoring needed,2026-06-26 15:47:47.245453
11,Yellow Stem Borer (Rice),Scirpophaga incertulas,Lepidoptera,Crambidae,Chewing_Caterpillars,"Rice (primary), Sugarcane, Wild grasses",South and Southeast Asia,Stem boring,"Adult: white moth, 25-30mm wingspan; female has black spot; Larva: creamy white, dark head, up to 20mm",Deadheart: young plants central leaf whorl dies and turns brown (easy to pull out) — vegetative stage; Whitehead: panicle turns white and empty — reproductive stage,"{""egg"": ""Flat oval masses (50-100 eggs) on leaf blades; hatches 5-7 days"", ""larva"": ""Bore into stems; 5 instars; 30-35 days"", ""pupa"": ""Inside stem; 7-10 days"", ""adult"": ""5-7 days; female lays 100-300 eggs"", ""total_duration_days"": ""45-55 days; 2-4 generations/season""}",High during Kharif paddy; light traps show seasonal peaks,5% deadheart at vegetative stage; 2% whitehead at flowering stage,Clip leaf tips of transplanted seedlings (removes egg masses); light traps; pheromone traps; release Trichogramma japonicum,"Cartap hydrochloride 4G granules (25 kg/ha in standing water), Chlorpyrifos 20% EC (2ml/L), Carbofuran 3G, Fipronil 0.3G","Trichogramma japonicum (egg parasitoid, 1 lakh/ha at 10-day intervals), Tetrastichus schoenobii, Telenomus rowani",Clipping transplant seedlings to remove egg masses is highly effective low-cost management; light traps help reduce adult populations; timing of Trichogramma release is key,"Trichogramma japonicum, Tetrastichus schoenobii, Spiders, Mirid bugs, Wolf spiders",Moderate; less resistance issues than whitefly/DBM,2026-06-26 15:47:47.245453
12,Fruit Fly (Oriental),Bactrocera dorsalis,Diptera,Tephritidae,Fruit_Pests,"Mango, Guava, Banana, Papaya, Star Fruit, Citrus — 150+ fruit species","Asia, Pacific, Africa (invasive)",Oviposition and larval feeding inside fruit,"Adult: 8mm, yellowish with dark dorsal stripes; distinctive pointed ovipositor in females; red-brown eyes; Larvae: white maggots inside fruit","Pin-hole entry with sap/gum oozing; fruit surface discoloration, premature fruit drop; soft rotting interior with white maggots; secondary bacterial and fungal infections","{""egg"": ""Inserted into fruit skin in clusters; hatches 1-2 days"", ""larva"": ""3 instars inside fruit; 7-14 days"", ""pupa"": ""In soil; 8-14 days"", ""adult"": ""1-2 months; female lays 1500-2000 eggs"", ""total_duration_days"": ""20-30 days; multiple overlapping generations""}",Coincides with fruit ripening season; high populations in humid warm conditions,Quarantine pest — zero tolerance for export fruit; 1 fly per trap per day for domestic,Male attractant traps (Methyl eugenol + malathion or GF-120); fruit bagging with paper or plastic bags; Protein bait sprays; pick and destroy infested fallen fruit,"Protein bait spray (GF-120 bait + Spinosad); Cover sprays Malathion 50% EC (2ml/L), Dimethoate (2ml/L); only during non-harvest period","Fopius arisanus (egg-larval parasitoid), Diachasmimorpha longicaudata, Fopius vandenboschi, mass rearing and release of sterile males (SIT)",Bactrocera dorsalis is a major quarantine pest affecting trade. Use of Methyl eugenol + insecticide traps for mass trapping is most effective. Combination: MAT traps + fruit bagging + protein bait + biocontrol,"Fopius arisanus, Diachasmimorpha longicaudata, Biosteres arisanus",Malathion resistance documented; use rotation strategies,2026-06-26 15:47:47.245453
13,Mango Stone Weevil,Sternochetus mangiferae,Coleoptera,Curculionidae,Fruit_Pests,Mango (specific to mango seed/stone),"Asia, Africa, Americas (invasive)",Larval boring into mango seed,"Adult: 7-9mm, brown-black mottled weevil; Larva: white, legless grub inside mango seed",No external fruit damage visible; seed destroyed; premature fruit drop; larvae tunnel through cotyledons; affects seed viability for propagation,"{""egg"": ""Laid singly in small cavities cut by female in young fruit skin near seed"", ""larva"": ""Develop inside seed; 4-6 weeks"", ""pupa"": ""Inside seed; 2-3 weeks"", ""adult"": ""Emerges when fruit falls; feeds on bark; overwinters in bark crevices"", ""total_duration_days"": ""1 generation per year; synchronized with mango fruit season""}",Small fruit stage (April-May in India),Quarantine pest for seed trade; 1-2% infestation critical for export,Collect and destroy fallen infested fruits; tree hygiene — remove old bark; hot water seed treatment for nursery use (52°C for 15 min),Chlorpyrifos 20% EC (2ml/L) spray when adults are active (Feb-March); trunk banding with insecticide strips,No effective commercial biological control,Major quarantine pest affecting mango export. Fumigation (Methyl Bromide or Phosphine) required for export. SIT being explored.,No significant natural enemies known,Low,2026-06-26 15:47:47.245454
14,White Grubs (Chafer Beetles),"Holotrichia consanguinea, Leucopholis lepidophora (multiple spp.)",Coleoptera,Scarabaeidae,Soil_Pests,"Sugarcane, Groundnut, Maize, Potato, Soybean, Turf grasses, Tree nurseries",Worldwide; especially tropical and subtropical regions,Root feeding (grubs); adult defoliation,"Grubs: creamy white C-shaped, up to 30-50mm, brown head; Adults: brown to black beetles 15-35mm with lamellate antennae",Plants wilt suddenly (root destruction by grubs); patches of dead plants in field; soil becomes soft and easy to pull plants (roots eaten); adult beetles feed on tree leaves at night,"{""egg"": ""Laid 10-15cm deep in moist soil; hatches 2-3 weeks"", ""grub"": ""3 instars; 9-12 months; main damage period is grub stage"", ""pupa"": ""In soil; 3-4 weeks"", ""adult"": ""Adult emerges monsoon onset; lives 2-4 weeks; comes to light at night"", ""total_duration_days"": ""1 year complete life cycle (some spp. 2-3 years)""}",Adults emerge June-July (monsoon); grubs cause damage August-February,2-3 grubs per square meter,Metarhizium anisopliae fungus (1×10⁹ spores/ml) soil application; ploughing to expose and destroy grubs; light traps for adults; neem cake 250 kg/ha,Chlorpyrifos 20% EC (5L/ha) soil incorporation before planting; Carbofuran 3G (25 kg/ha); Phorate 10G; Imidacloprid seed treatment,"Metarhizium anisopliae, Beauveria bassiana soil inoculants; Heterorhabditis bacteriophora (entomopathogenic nematode)",Ploughing before monsoon onset exposes grubs to heat and predators; synchronize light trap monitoring with adult emergence; grub management is season-long,"Birds (mynahs, cattle egret feed on exposed grubs), Ground beetles (Carabidae), Centipedes, Entomopathogenic fungi",Developing resistance to chlorpyrifos in some populations,2026-06-26 15:47:47.245454
15,Root Knot Nematode,"Meloidogyne incognita, M. javanica, M. arenaria, M. hapla",Tylenchida,Meloidogynidae,Soil_Pests,"Over 2,000 plant species; especially vegetables, tobacco, cotton, legumes",Tropical and subtropical worldwide; most severe in sandy soils,Root parasitism; feeding cell formation,"Microscopic (0.5-1mm); females become sedentary, pear-shaped inside galls; second-stage juveniles (J2) infectious stage; galls visible on roots as swellings","Above ground: wilting, chlorosis, stunting resembling nutrient deficiency; Below ground: characteristic root galls (knots), reduced and brown root system, secondary root pathogens","{""egg"": ""Eggs in gel matrix (egg mass) on root surface; 200-500 per mass"", ""j2"": ""Infectious stage penetrates roots; 5-7 days to hatch"", ""parasitic_stages"": ""J3 and J4 inside giant cells; 21-28 days total"", ""adult_female"": ""Pear-shaped, sedentary; produces egg mass for next generation"", ""total_duration_days"": ""21-30 days per generation at 25\u00b0C; 5-6 generations per season""}",All season in warm soils; worse in summer and light sandy soils,1 egg mass per plant; 10 juveniles per 100ml soil,Marigold (Tagetes spp.) intercropping; neem cake 250kg/ha soil application; Paecilomyces lilacinus inoculant; castor cake; mustard cake; crop rotation with cereals,"Carbofuran 3G (33 kg/ha), Phorate 10G, Ethoprophos 10G at planting; soil fumigation with Dazomet or Metam sodium (pre-plant)","Purpureocillium lilacinum (formerly Paecilomyces lilacinus), Pochonia chlamydosporia, Trichoderma harzianum, Bacillus firmus (VOTiVO), Steinernema carpocapsae",Soil solarization (polyethylene film on moist soil for 6-8 weeks) highly effective; Mi-1.2 gene resistance in tomato; grafting onto resistant rootstocks effective in cucurbits,"Predatory nematodes (Steinernema, Heterorhabditis), Predatory fungi (Arthrobotrys), Purpureocillium lilacinum",Developing resistance to fumigants and nematicides; Biocontrol is important for sustainable management,2026-06-26 15:47:47.245454
16,Rice Weevil,Sitophilus oryzae,Coleoptera,Curculionidae,Storage_Pests,"Rice, Wheat, Maize, Barley, Sorghum — stored grains",Worldwide; tropical and subtropical regions,Grain boring,"Adult: 2.5-3.5mm, reddish-brown with 4 pale red-yellow spots on elytra; long snout (rostrum); Larvae: white, legless grub inside grain",Grain kernels hollowed out; dust and frass in stored grain; characteristic exit holes; grain losses 20-40%; quality deterioration,"{""egg"": ""Laid inside grain kernel; hatches 3-5 days"", ""larva"": ""Develop inside kernel; 4 instars; 15-25 days"", ""pupa"": ""Inside grain; 6-10 days"", ""adult"": ""4-5 months lifespan; female lays 150-300 eggs"", ""total_duration_days"": ""30-40 days per generation; multiple generations in store""}",Year-round in warm grain stores; explosive in humid hot conditions,1 adult per kg grain,"Clean dry grain storage (< 14% moisture); diatomaceous earth 1.5g/kg mixed with grain; bay leaves in storage; neem leaf powder mixed with grain; hermetic storage (PICS bags, metal silos)",Phosphine fumigation (Aluminium phosphide tablets 3 tablets/tonne); Pyrethrin spray on empty stores; Deltamethrin WP on wall surfaces; Pirimiphos-methyl admixture,No practical biological control for storage pests,Clean storage is the most important preventive measure. Never store wet grain. Use hermetic bags (PICS/GrainPro) for smallholder storage. Monitor with traps regularly.,"Cheyletus eruditus (predatory mite), Xylocoris flavipes (pirate bug)",Phosphine resistance increasingly common; use proper fumigation protocols,2026-06-26 15:47:47.245455
17,Lesser Grain Borer,Rhyzopertha dominica,Coleoptera,Bostrichidae,Storage_Pests,"Wheat, Rice, Maize, Barley, Sorghum — stored grains",Worldwide tropical/subtropical,Grain boring from outside,"Adult: 2.5-3mm, dark brown, elongated with head underneath pronotum; cylindrical shape; Larvae: white grub in grain or debris",Flour dust from feeding activity; grain kernels bored from outside; 'rice dust'; severe infestations cause 30-50% losses; heat generation from infested grain,"{""egg"": ""Laid loose among grain; 3-7 days"", ""larva"": ""Feeds externally on grain surface, then penetrates; 4-6 weeks"", ""pupa"": ""In grain kernel; 1-2 weeks"", ""total_duration_days"": ""5-8 weeks; multiple generations in storage""}",Higher temperatures (>25°C) accelerate development,5 adults per kg grain,"Hermetic storage, diatomaceous earth, proper drying below 12% moisture","Phosphine fumigation, Pirimiphos-methyl grain protectant",Limited; Theocolax elegans (ectoparasitoid wasp),More damaging than rice weevil because it attacks hard grain; thrives in lower moisture conditions,"Theocolax elegans (parasitoid), Xylocoris flavipes",Phosphine resistance widespread; resistance monitoring essential,2026-06-26 15:47:47.245455
